"Date","Price","Open","High","Low","Vol.","Change %"
"10/26/2025","42.0602","41.9476","42.2162","41.6709","","0.27%"
"10/19/2025","41.9461","41.9045","42.3165","41.5438","","0.11%"
"10/12/2025","41.9001","41.8459","42.0973","41.6252","","0.13%"
"10/05/2025","41.8459","41.6550","41.9898","41.4540","","0.37%"
"09/28/2025","41.6932","41.5725","41.8474","41.2287","","0.81%"
"09/21/2025","41.3600","41.3793","41.6775","41.2185","","-0.05%"
"09/14/2025","41.3793","41.3365","41.5467","41.0816","","0.10%"
"09/07/2025","41.3365","41.2100","41.4939","41.1208","","0.24%"
"08/31/2025","41.2381","41.1025","41.3889","40.9235","","0.33%"
"08/24/2025","41.1025","40.9357","41.3634","40.7529","","0.41%"
"08/17/2025","40.9357","40.8550","41.1373","40.7172","","0.33%"
"08/10/2025","40.8000","40.6783","41.0161","40.4753","","0.36%"
"08/03/2025","40.6528","40.6393","40.8396","40.4355","","0.09%"
"07/27/2025","40.6170","40.5535","40.9480","40.3812","","0.13%"
"07/20/2025","40.5624","40.3798","40.9157","40.1315","","0.42%"
"07/13/2025","40.3945","40.1781","40.5492","39.9929","","0.53%"
"07/06/2025","40.1815","39.8358","40.4245","39.7270","","0.84%"
"06/29/2025","39.8474","39.8971","40.0440","39.6299","","-0.16%"
"06/22/2025","39.9094","39.6785","40.0265","39.3450","","0.58%"
"06/15/2025","39.6775","39.4143","39.9189","39.1527","","0.67%"
"06/08/2025","39.4143","39.2195","39.8068","38.9856","","0.50%"
"06/01/2025","39.2191","39.2249","39.4226","38.9325","","0.02%"
"05/25/2025","39.2098","38.9480","39.5026","38.7305","","0.77%"
"05/18/2025","38.9092","38.8275","39.2460","38.5589","","0.14%"
"05/11/2025","38.8547","38.7556","38.9975","38.5652","","0.24%"
"05/04/2025","38.7611","38.5694","38.8791","38.2657","","0.50%"
"04/27/2025","38.5698","38.4228","38.7588","38.1685","","0.38%"
"04/20/2025","38.4235","38.1176","38.5610","37.8816","","0.91%"
"04/13/2025","38.0778","37.9900","38.3774","37.7558","","0.57%"
"04/06/2025","37.8624","38.0035","38.3105","37.5828","","-0.34%"
"03/30/2025","37.9907","37.9810","38.3106","37.6098","","0.30%"
"03/23/2025","37.8759","37.8790","38.4613","37.4940","","1.33%"
"03/16/2025","37.3800","36.6600","41.2164","36.5220","","2.37%"
"03/09/2025","36.5133","36.4559","36.9945","36.2759","","0.07%"
"03/02/2025","36.4861","36.5154","36.7012","36.2236","","0.25%"
"02/23/2025","36.3935","36.4300","36.7288","36.2156","","0.03%"
"02/16/2025","36.3822","36.2195","36.6859","35.9846","","0.47%"
"02/09/2025","36.2130","35.9915","36.4175","35.7370","","0.63%"
"02/02/2025","35.9863","35.7849","36.1497","35.4093","","0.81%"
"01/26/2025","35.6977","35.6644","36.0191","35.4788","","0.15%"
"01/19/2025","35.6454","35.5004","35.7739","35.4195","","0.61%"
"01/12/2025","35.4307","35.4013","35.7308","35.2663","","0.13%"
"01/05/2025","35.3852","35.3569","35.5444","35.1823","","0.13%"
"12/29/2024","35.3376","35.0723","35.7370","35.0123","","0.76%"
"12/22/2024","35.0702","35.1902","35.4579","34.8942","","-0.25%"
"12/15/2024","35.1588","34.9428","35.3276","34.8212","","0.67%"
"12/08/2024","34.9238","34.7402","35.0434","34.6140","","0.54%"
"12/01/2024","34.7376","34.6902","34.8957","34.5745","","0.13%"
"11/24/2024","34.6913","34.5191","34.8511","34.2747","","0.43%"
"11/17/2024","34.5434","34.4322","34.8820","34.2906","","0.36%"
"11/10/2024","34.4185","34.3530","34.8946","34.1163","","0.13%"
"11/03/2024","34.3722","34.3250","34.5486","34.0844","","0.20%"
"10/27/2024","34.3020","34.2873","34.5047","34.0490","","0.06%"
"10/20/2024","34.2827","34.2374","34.5215","34.0285","","0.88%"
"10/13/2024","33.9850","34.2895","34.5462","33.9026","","-0.76%"
"10/06/2024","34.2442","34.2529","34.4724","34.0484","","-0.02%"
"09/29/2024","34.2500","34.1699","34.4187","33.9793","","0.26%"
"09/22/2024","34.1615","34.1030","34.3499","33.9398","","0.20%"
"09/15/2024","34.0926","33.9234","34.2600","33.6661","","0.64%"
"09/08/2024","33.8762","33.9945","34.2220","33.7585","","-0.22%"
"09/01/2024","33.9505","34.0452","34.1690","33.7450","","-0.35%"
"08/25/2024","34.0711","33.9919","34.4742","33.7980","","0.33%"
"08/18/2024","33.9588","33.6752","34.0629","33.5615","","0.88%"
"08/11/2024","33.6632","33.5291","33.9940","33.3650","","0.54%"
"08/04/2024","33.4839","33.2248","33.7718","33.1505","","0.95%"
"07/28/2024","33.1680","32.9600","33.3339","32.8288","","0.80%"
"07/21/2024","32.9042","33.0002","33.2491","32.6804","","-0.46%"
"07/14/2024","33.0549","33.0088","33.2932","32.8676","","0.10%"
"07/07/2024","33.0214","32.6750","33.1271","32.4850","","1.18%"
"06/30/2024","32.6350","32.7728","32.8865","32.3985","","-0.04%"
"06/23/2024","32.6485","32.8162","33.0728","32.5850","","-0.56%"
"06/16/2024","32.8322","32.7267","32.9660","32.3704","","0.63%"
"06/09/2024","32.6273","32.4275","32.8767","32.1300","","1.19%"
"06/02/2024","32.2430","32.2267","32.7046","32.0155","","0.03%"
"05/26/2024","32.2322","32.2136","32.5541","31.9267","","0.10%"
"05/19/2024","32.2003","32.2850","32.5462","32.0275","","0.00%"
"05/12/2024","32.1987","32.2167","32.4631","32.0080","","0.00%"
"05/05/2024","32.1989","32.3452","32.6051","32.0457","","-0.42%"
"04/28/2024","32.3346","32.5080","32.6239","32.1606","","-0.21%"
"04/21/2024","32.4036","32.4992","32.7107","32.3056","","-0.28%"
"04/14/2024","32.4941","32.3640","32.8862","32.1775","","0.46%"
"04/07/2024","32.3468","32.0303","33.0275","31.8024","","0.97%"
"03/31/2024","32.0374","32.3469","32.5582","31.4914","","-0.95%"
"03/24/2024","32.3460","32.0013","32.6438","31.8147","","1.04%"
"03/17/2024","32.0132","32.1168","32.5760","31.6416","","-0.32%"
"03/10/2024","32.1144","31.8216","32.6623","31.8078","","0.86%"
"03/03/2024","31.8400","31.4082","32.0261","31.3039","","1.69%"
"02/25/2024","31.3099","31.0610","31.4860","30.9853","","1.11%"
"02/18/2024","30.9651","30.8450","31.2237","30.6454","","0.48%"
"02/11/2024","30.8182","30.6733","31.1329","30.4841","","0.85%"
"02/04/2024","30.5580","30.5016","30.8417","30.1707","","0.52%"
"01/28/2024","30.3990","30.2575","30.6622","30.0968","","0.41%"
"01/21/2024","30.2743","30.2091","30.6496","29.9093","","0.24%"
"01/14/2024","30.2017","30.0753","30.3616","29.7918","","0.46%"
"01/07/2024","30.0636","29.8248","30.5469","29.6850","","0.82%"
"12/31/2023","29.8202","29.4477","29.9611","29.4477","","1.17%"
"12/24/2023","29.4766","29.1425","29.7808","28.9514","","0.95%"
"12/17/2023","29.1982","29.0000","29.4343","28.8654","","0.85%"
"12/10/2023","28.9511","28.9453","29.1650","28.8263","","0.33%"
"12/03/2023","28.8557","28.9128","29.1292","28.7631","","-0.11%"
"11/26/2023","28.8885","28.8656","29.0357","28.6422","","0.10%"
"11/19/2023","28.8606","28.6770","28.9881","28.4885","","0.72%"
"11/12/2023","28.6545","28.5450","28.8794","28.3644","","0.45%"
"11/05/2023","28.5251","28.2150","28.8050","28.2150","","0.52%"
"10/29/2023","28.3775","28.2296","28.6173","28.0220","","0.76%"
"10/22/2023","28.1636","27.9997","28.3831","27.9027","","0.77%"
"10/15/2023","27.9483","27.8040","28.2644","27.5842","","0.67%"
"10/08/2023","27.7612","27.6298","28.2353","27.4286","","0.80%"
"10/01/2023","27.5405","27.4042","27.9565","27.2744","","0.62%"
"09/24/2023","27.3712","27.1700","27.8383","26.8890","","0.99%"
"09/17/2023","27.1038","26.9947","27.4477","26.6604","","0.69%"
"09/10/2023","26.9191","26.8502","27.3679","26.5994","","0.36%"
"09/03/2023","26.8228","26.7167","27.1373","26.4470","","0.72%"
"08/27/2023","26.6311","26.3550","26.8719","25.7953","","0.32%"
"08/20/2023","26.5465","27.1112","27.3847","25.1590","","-1.79%"
"08/13/2023","27.0307","26.9538","27.3264","26.7817","","0.62%"
"08/06/2023","26.8632","26.9748","27.4594","26.5399","","-0.27%"
"07/30/2023","26.9371","26.8701","27.5805","26.7973","","0.14%"
"07/23/2023","26.9003","26.9204","27.2062","26.7040","","-0.27%"
"07/16/2023","26.9729","26.1702","27.3188","25.9249","","3.36%"
"07/09/2023","26.0953","26.0676","26.3486","25.8712","","0.15%"
"07/02/2023","26.0552","26.0510","26.2878","25.6138","","0.03%"
"06/25/2023","26.0461","25.2766","26.2505","25.0712","","3.22%"
"06/18/2023","25.2330","23.5800","26.0300","23.3659","","6.85%"
"06/11/2023","23.6154","23.3994","23.8236","23.3181","","1.06%"
"06/04/2023","23.3673","21.0019","23.6189","20.9089","","11.49%"
"05/28/2023","20.9589","19.9977","21.0292","19.8875","","5.16%"
"05/21/2023","19.9309","19.8235","20.4073","19.6707","","0.73%"
"05/14/2023","19.7860","19.6140","19.9171","19.4798","","1.16%"
"05/07/2023","19.5600","19.5000","19.7355","19.3624","","0.22%"
"04/30/2023","19.5172","19.4425","19.6155","19.3450","","0.36%"
"04/23/2023","19.4478","19.4042","19.5609","19.2935","","0.38%"
"04/16/2023","19.3741","19.3653","19.5253","19.2652","","0.15%"
"04/09/2023","19.3446","19.2485","19.4725","19.1545","","0.60%"
"04/02/2023","19.2283","19.1863","19.5240","19.0898","","0.37%"
"03/26/2023","19.1582","19.0589","19.2887","18.9700","","0.59%"
"03/19/2023","19.0457","19.0111","19.2557","18.8022","","0.19%"
"03/12/2023","19.0095","18.9548","19.3368","18.5930","","0.29%"
"03/05/2023","18.9551","18.8244","19.0727","18.7580","","0.72%"
"02/26/2023","18.8195","18.8620","19.0343","18.7062","","-0.25%"
"02/19/2023","18.8676","18.8590","18.9752","18.7391","","0.23%"
"02/12/2023","18.8247","18.8155","19.0370","18.7157","","0.07%"
"02/05/2023","18.8107","18.8207","18.9254","18.7078","","-0.04%"
"01/29/2023","18.8186","18.8110","18.9217","18.6785","","0.06%"
"01/22/2023","18.8079","18.7611","18.9038","18.5960","","0.27%"
"01/15/2023","18.7579","18.8027","18.9004","18.6619","","-0.12%"
"01/08/2023","18.7806","18.7349","18.8838","18.5917","","0.15%"
"01/01/2023","18.7524","18.6985","18.8682","18.5730","","0.34%"
"12/25/2022","18.6883","18.6622","18.8374","18.5413","","0.13%"
"12/18/2022","18.6637","18.6380","18.7838","18.5525","","0.16%"
"12/11/2022","18.6343","18.6479","18.7658","18.4932","","-0.09%"
"12/04/2022","18.6503","18.6344","18.7593","18.5236","","0.11%"
"11/27/2022","18.6303","18.5930","18.7514","18.4940","","0.24%"
"11/20/2022","18.5851","18.6223","18.7232","18.4883","","-0.02%"
"11/13/2022","18.5889","18.5631","18.7115","18.4328","","0.10%"
"11/06/2022","18.5705","18.5681","18.7185","18.3528","","0.03%"
"10/30/2022","18.5657","18.5940","18.7257","18.4598","","-0.08%"
"10/23/2022","18.5813","18.5960","18.7120","18.4335","","-0.04%"
"10/16/2022","18.5884","18.5760","18.6933","18.4517","","0.16%"
"10/09/2022","18.5585","18.5823","18.7070","18.4487","","-0.02%"
"10/02/2022","18.5620","18.4895","18.6941","18.3515","","0.34%"
"09/25/2022","18.5000","18.4040","18.6262","18.3223","","0.47%"
"09/18/2022","18.4131","18.2565","18.4900","18.1649","","0.87%"
"09/11/2022","18.2543","18.2233","18.3587","18.1268","","0.11%"
"09/04/2022","18.2334","18.1971","18.3345","18.1050","","0.31%"
"08/28/2022","18.1777","18.1647","18.3442","18.0800","","0.19%"
"08/21/2022","18.1433","18.0807","18.3405","17.9849","","0.32%"
"08/14/2022","18.0850","17.9324","18.2017","17.8083","","0.85%"
"08/07/2022","17.9324","17.9116","18.0604","17.6443","","0.12%"
"07/31/2022","17.9101","17.9084","18.0674","17.7670","","-0.01%"
"07/24/2022","17.9114","17.7394","18.0470","17.5436","","1.10%"
"07/17/2022","17.7173","17.3521","17.8305","17.2558","","1.85%"
"07/10/2022","17.3950","17.2738","17.5660","17.2043","","0.73%"
"07/03/2022","17.2683","16.7634","17.3968","16.6516","","3.02%"
"06/26/2022","16.7613","16.8648","16.9228","16.0021","","-0.74%"
"06/19/2022","16.8860","17.3165","17.4713","16.4858","","-2.54%"
"06/12/2022","17.3255","17.1488","17.4037","16.9430","","1.49%"
"06/05/2022","17.0718","16.4464","17.3320","16.3468","","4.02%"
"05/29/2022","16.4126","16.2179","16.5907","16.1632","","1.43%"
"05/22/2022","16.1807","15.9084","16.5295","15.6410","","1.80%"
"05/15/2022","15.8951","15.4793","16.0490","15.3958","","2.70%"
"05/08/2022","15.4769","14.9380","15.5602","14.8624","","3.55%"
"05/01/2022","14.9468","14.8462","14.9867","14.6820","","0.71%"
"04/24/2022","14.8416","14.7400","14.9055","14.6642","","0.73%"
"04/17/2022","14.7339","14.6327","14.7926","14.5311","","0.72%"
"04/10/2022","14.6280","14.7420","14.8153","14.4779","","-0.79%"
"04/03/2022","14.7441","14.6861","14.8174","14.6200","","0.42%"
"03/27/2022","14.6825","14.8352","14.9347","14.5252","","-0.99%"
"03/20/2022","14.8286","14.8117","14.9250","14.7040","","0.26%"
"03/13/2022","14.7899","14.7597","14.9675","14.4815","","0.21%"
"03/06/2022","14.7595","14.1515","15.0425","14.0854","","4.05%"
"02/27/2022","14.1845","13.8237","14.4431","13.6515","","2.64%"
"02/20/2022","13.8196","13.6729","14.7314","13.5491","","1.30%"
"02/13/2022","13.6426","13.5212","13.7419","13.3962","","0.92%"
"02/06/2022","13.5177","13.5679","13.7458","13.3923","","-0.31%"
"01/30/2022","13.5596","13.5365","13.7474","13.1972","","0.07%"
"01/23/2022","13.5507","13.4555","13.8010","13.2300","","0.89%"
